书号,ISBN,书名,作者,出版社
,9787111421900,深入理解Java虚拟机,周志明,机械工业出版社
,9787111547426,Java核心技术（中文第10版）卷1,[美]凯.S.霍斯特曼(Cay S.Horstman) 著 周立新 等译,机械工业出版社
,9787111573319,Java核心技术（中文第10版）卷2,[美]凯.S.霍斯特曼(Cay S.Horstman) 著 周立新 等译,机械工业出版社
,9787111502067,Java多线程编程核心技术,高洪岩,机械工业出版社
,9787111603702,利用Python进行数据分析（原书第2版）,"[美] 韦斯・麦金尼（Wes McKinney）
","机械工业出版社 
"
,9787115387325,C++并发编程实战,[美] Anthony Williams（威廉姆斯） 著，周全，梁娟娟，宋真真，许敏 译,人民邮电出版社
,9787115384881,Java 8函数式编程,[英] Richard Warburton;,人民邮电出版社
,9787115379597,Python Cookbook 第三版中文版,"大卫・比斯利 (David Beazley) (作者), 布莱恩・K.琼斯 (Brian K.Jones) (作者), 陈舸 (译者)
",人民邮电出版社
,9787115414779,Python核心编程（第3版）,[美] Wesley Chun 著，孙波翔，李斌，李晗 译,人民邮电出版社
,9787115433503,Python网络编程（第3版）,"[美]Brandon Rhodes , [美]John Goerzen (作者) 诸豪文 (译者)
",人民邮电出版社
,9787115474889,Python基础教程,Magnus Lie Hetland;,人民邮电出版社
,9787115402844,Redis实战,Josiah L. Carlson;,人民邮电出版社
,9787115341082,MongoDB权威指南（第2版）,霍多罗夫 (Kristina Chodorow);,人民邮电出版社
,9787115478818,笨办法学Python 3,[美]泽德・A.肖（Zed A.Shaw） 著，王巍巍?译,人民邮电出版社
,9787121177408,JavaScript语言精粹,道格拉斯?克罗克福德 (Douglas Crockford);,电子工业出版社
,9787512329232,JavaScript模式,道格拉斯?克罗克福德 (Douglas Crockford);,电子工业出版社
,,,,
,9787121276576,ES6 标准入门（第2版）,阮一峰 著;,电子工业出版社
,9787302386346,算法设计与分析基础,Anany levitin;,清华大学出版社
,,算法谜题,[美]Anany Levitin,人民邮电出版社
,9787115293800,算法,[美]Robert Sedgewick; Kevin Wayne,人民邮电出版社
,9787115320100,挑战程序设计竞赛,秋叶拓哉;岩田阳一;北川宜稔;,人民邮电出版社
,9787301246450,数值最优化方法,高力,北京大学出版社
,9787121287992,谁说菜鸟不会数据分析(入门篇),张文霖;刘夏璐;狄松;,电子工业出版社
,9787121287992,谁说菜鸟不会数据分析(工具篇),张文霖，狄松，林凤琼 等;,电子工业出版社
,9787121342547,Gan实战生成对抗网络,Kuntal Ganguly,电子工业出版社
,,数据挖掘：实用机器学习工具与技术(原书第3版),lan H.Witten,机械工业出版社
,9787111569350,人工智能中的深度结构学习,Yoshua Bengio,机械工业出版社
,9787302298700,web数据挖掘  ,liubing（刘兵）,清华大学出版社
,9787302423287,机器学习,周志华,清华大学出版社
,9787302275954,统计学习方法,李航,清华大学出版社
,9787121288692,神经网络与深度学习,邱锡鹏,复旦大学
,9787121341472,深度学习：基于Keras的Python实践, 魏贞原,电子工业出版社
,9787115461476,深度学习,[美]Ina goodfellow伊恩・古德费洛）、[加]Yoshua?Bengio（约书亚・本吉奥）等,人民邮电出版社
,,美团机器学习实践,美团算法团队,人民邮电出版社
,,机器学习实战,[美] Peter Harrington,人民邮电出版社
,9787115482228,Keras深度学习实战,安东尼奥・古利,人民邮电出版社
,9787115485588,深度学习入门：基于Python的理论与实现,"斋藤康毅著  陆宇杰译
",人民邮电出版社
,9787115479105,精通数据科学 从线性回归到深度学习,唐亘 著,人民邮电出版社
,,,,
,9787121309120,TensorFlow实战,黄文坚,电子工业出版社
,9787121340000,强化学习精要：核心算法与TensorFlow实现,冯超,电子工业出版社
,9787121212000,大型网站技术架构核心原理与案例分析,李智慧,电子工业出版社
,9787121323515,Kubernetes权威指南,龚正 等,电子工业出版社
,9787121330667,TensorFlow：实战Google深度学习框架,郑泽宇，梁博文，顾思宇 著,电子工业出版社
,9787121311994,OpenStack设计与实现（第2版）,英特尔开源技术中心,电子工业出版社
,9787121298738,OpenStack从零开始学,卢万龙，周萌 著,电子工业出版社
,9787111524786,DevOps实战,[美]小特雷弗A.罗伯茨;,机械工业出版社
,9787111555827,Docker技术入门与实战 第2版,杨保华;戴王剑;曹亚仑,机械工业出版社
,9787111575702,OpenStack高可用集群（上册）,山金孝,机械工业出版社
,9787111580959,OpenStack高可用集群（下册）,山金孝,机械工业出版社
,9787302493020,TensorFlow+Keras深度学习人工智能实践应用,林大贵,清华大学出版社
,9787302479703,每天5分钟玩转Docker容器技术,Cloudman,清华大学出版社
,9787115382436,Git版本控制管理（第2版）,[美]乔恩 罗力格（Jon Loeliger）;马修 麦卡洛（Matthew McCullough）;,人民邮电出版社
,9787115427861,Vim实用技巧,[英] Drew Neil;,人民邮电出版社
,9787115366603,正则表达式经典实例（第2版）,[美]简?高瓦特斯（Jan Goyvaerts）;[美]史蒂文?莱文森（Steven Levithan）;,人民邮电出版社
,9787115419330,第一本Docker书(修订版),[澳]James Turnbull著；李兆海，刘斌，巨震 译,人民邮电出版社
,,,,
,9787121060748,编程之美,《编程之美》小组 编;,电子工业出版社
,9787121310928,剑指Offer,何海涛;,电子工业出版社
,9787111474364,人件（原书第3版）,[美] Tom DeMarco;[美] Timothy Lister;,机械工业出版社
,9787302223405,用户故事与敏捷方法,Mike Cohn;,清华大学出版社
,9787302373582,反入侵的艺术――黑客入侵背后的真实故事,"(美) 米特尼克(Mitnick, K. D.);(美) 西蒙(Simon, W. L.);",清华大学出版社
,9787115373649,如何变得有思想,阮一峰;,人民邮电出版社
,9787115249494,黑客与画家,[美] Paul Graham;,人民邮电出版社
,9787115403650,凤凰项目,基恩・金 (Gene Kim);凯文・贝尔 (Kevin Behr);乔治・斯帕福德 (George Spafford);,人民邮电出版社
,9787115371072,程序员必读之软件架构,[英] Simon Brown;,人民邮电出版社
,9787115313089,设计师要懂心理学,[美] Susan Weinschenk;,人民邮电出版社
,9787115427847,设计师要懂心理学2,[美] Susan Weinschenk;,人民邮电出版社
,9787115369093,重构,[美]马丁?福勒（Martin Fowler）;,人民邮电出版社
,9787115460769,构建之法,邹欣;,人民邮电出版社
,9787115216878,代码整洁之道,[美]Robert C. Martin;,人民邮电出版社
,9787115429476,软技能,John Sonmez;,人民邮电出版社
,,,,
,9787121196034,网络科学引论,Mark E. J. Newman,电子工业出版社
,,Kali Linux渗透测试技术详解,杨波;,清华大学出版社
,9787115360366,图解网络硬件,[日] 三轮贤一;,人民邮电出版社
,9787115429674,Linux命令行与shell脚本编程大全(第3版),[美]布鲁姆，布雷斯纳汉 著;门佳/武海峰 译,人民邮电出版社
,9787115281487,Http权威指南,David Gourley / Brian Totty,人民邮电出版社
,9787115318978,图解TCP/IP(第5版),[日]竹下隆史;[日]村山公保;[日]荒井透;[日]i田幸雄;,人民邮电出版社
,,鸟哥的Linux私房菜 （基础学习篇 第三版）,鸟哥?著,人民邮电出版社
,,鸟哥的Linux私房菜：服务器架设篇（第三版）,鸟哥?著,人民邮电出版社
,,,,
,9787121313837,数字图像处理（第三版）,"拉斐尔(Rafael), C.冈萨雷斯( C.Gonzalez)",电子工业出版社
